"","keyid","title","start","end","language","country","duration","tooltip","l_color"
"57","AKinterjoor","Interjöör : sisustus, aiandus, kinnisvara","2017-04-19","2018-04-11","Estonian","Estonia",0.978082191780822,"Interjöör : sisustus, aiandus, kinnisvara<br>From <b>2017-04-19</b> to <b>2018-04-11</b><br>issued in <b>Estonia</b> in <b>Estonian</b> language</br>","#899DA4"
"58","AKjalka","Jalka : Eesti Jalgpalli Liidu ajakiri","2017-01-01","2021-09-01","Estonian","Estonia",4.66849315068493,"Jalka : Eesti Jalgpalli Liidu ajakiri<br>From <b>2017-01-01</b> to <b>2021-09-01</b><br>issued in <b>Estonia</b> in <b>Estonian</b> language</br>","#899DA4"
"59","AKkaitsekodu","Kaitse Kodu! : Kaitseliidu ajakiri = magazine of the Estonian Defence League","2017-01-01","2022-01-01","Estonian","Estonia",5.0027397260274,"Kaitse Kodu! : Kaitseliidu ajakiri = magazine of the Estonian Defence League<br>From <b>2017-01-01</b> to <b>2022-01-01</b><br>issued in <b>Estonia</b> in <b>Estonian</b> language</br>","#899DA4"
"60","AKkeeljakirjandus","Keel ja Kirjandus : KK : Eesti Teaduste Akadeemia ja Eesti Kirjanike Liidu ajakiri","2017-01-01","2022-01-01","Estonian","Estonia",5.0027397260274,"Keel ja Kirjandus : KK : Eesti Teaduste Akadeemia ja Eesti Kirjanike Liidu ajakiri<br>From <b>2017-01-01</b> to <b>2022-01-01</b><br>issued in <b>Estonia</b> in <b>Estonian</b> language</br>","#899DA4"
"61","AKkoikeramajade","Kõik Eramajade Rekonstrueerimisest","2019-01-01","2021-05-01","Estonian","Estonia",2.33150684931507,"Kõik Eramajade Rekonstrueerimisest<br>From <b>2019-01-01</b> to <b>2021-05-01</b><br>issued in <b>Estonia</b> in <b>Estonian</b> language</br>","#899DA4"
"62","AKkoikkoos","Kõik Koos : Lõunakeskuse ajakiri","2018-10-01","2019-12-01","Estonian","Estonia",1.16712328767123,"Kõik Koos : Lõunakeskuse ajakiri<br>From <b>2018-10-01</b> to <b>2019-12-01</b><br>issued in <b>Estonia</b> in <b>Estonian</b> language</br>","#899DA4"
"63","AKkoikkortermajade","Kõik Kortermajade Rekonstrueerimisest","2017-01-01","2021-09-01","Estonian","Estonia",4.66849315068493,"Kõik Kortermajade Rekonstrueerimisest<br>From <b>2017-01-01</b> to <b>2021-09-01</b><br>issued in <b>Estonia</b> in <b>Estonian</b> language</br>","#899DA4"
"64","AKkoiktoostus","Kõik Tööstustehnikast","2017-01-01","2020-12-01","Estonian","Estonia",3.91780821917808,"Kõik Tööstustehnikast<br>From <b>2017-01-01</b> to <b>2020-12-01</b><br>issued in <b>Estonia</b> in <b>Estonian</b> language</br>","#899DA4"
"65","AKkultuurjaelu","Kultuur ja Elu : K & E : rahvuskultuuri ajakiri","2017-03-01","2021-09-01","Estonian","Estonia",4.50684931506849,"Kultuur ja Elu : K & E : rahvuskultuuri ajakiri<br>From <b>2017-03-01</b> to <b>2021-09-01</b><br>issued in <b>Estonia</b> in <b>Estonian</b> language</br>","#899DA4"
"66","AKkunstee","Kunst.ee : Eesti kunsti ja visuaalkultuuri kvartaliajakiri = Quarterly of art and visual culture in Estonia","2017-03-01","2021-12-01","Estonian","Estonia",4.75616438356164,"Kunst.ee : Eesti kunsti ja visuaalkultuuri kvartaliajakiri = Quarterly of art and visual culture in Estonia<br>From <b>2017-03-01</b> to <b>2021-12-01</b><br>issued in <b>Estonia</b> in <b>Estonian</b> language</br>","#899DA4"
"67","AKkuuskymmend","60+ : ajakiri elukogenud inimesele","2017-01-01","2021-10-09","Estonian","Estonia",4.77260273972603,"60+ : ajakiri elukogenud inimesele<br>From <b>2017-01-01</b> to <b>2021-10-09</b><br>issued in <b>Estonia</b> in <b>Estonian</b> language</br>","#899DA4"
"68","AKlooming","Looming : Eesti Kirjanike Liidu ajakiri : ilmub 1923. aastast","2017-01-01","2022-01-01","Estonian","Estonia",5.0027397260274,"Looming : Eesti Kirjanike Liidu ajakiri : ilmub 1923. aastast<br>From <b>2017-01-01</b> to <b>2022-01-01</b><br>issued in <b>Estonia</b> in <b>Estonian</b> language</br>","#899DA4"
"69","AKmaale","Maale! : ajakiri elust Eestis","2017-03-01","2019-08-01","Estonian","Estonia",2.41917808219178,"Maale! : ajakiri elust Eestis<br>From <b>2017-03-01</b> to <b>2019-08-01</b><br>issued in <b>Estonia</b> in <b>Estonian</b> language</br>","#899DA4"
"70","AKmaaylikool","Maaülikool : Eesti Maaülikooli ajakiri","2016-04-01","2021-11-01","Estonian","Estonia",5.58904109589041,"Maaülikool : Eesti Maaülikooli ajakiri<br>From <b>2016-04-01</b> to <b>2021-11-01</b><br>issued in <b>Estonia</b> in <b>Estonian</b> language</br>","#899DA4"
"71","AKmaksumaksja","Maksumaksja : Eesti Maksumaksjate Liidu ajakiri = journal of Estonian Taxpayers`Association","2017-01-01","2021-04-01","Estonian","Estonia",4.24931506849315,"Maksumaksja : Eesti Maksumaksjate Liidu ajakiri = journal of Estonian Taxpayers`Association<br>From <b>2017-01-01</b> to <b>2021-04-01</b><br>issued in <b>Estonia</b> in <b>Estonian</b> language</br>","#899DA4"
"72","AKmeieaeg","Meie Aeg","2017-01-01","2021-04-01","Estonian","Estonia",4.24931506849315,"Meie Aeg<br>From <b>2017-01-01</b> to <b>2021-04-01</b><br>issued in <b>Estonia</b> in <b>Estonian</b> language</br>","#899DA4"
"73","AKmeieauris","Meie Auris : Eesti vaegkuuljate ajakiri","2017-03-01","2020-10-01","Estonian","Estonia",3.58904109589041,"Meie Auris : Eesti vaegkuuljate ajakiri<br>From <b>2017-03-01</b> to <b>2020-10-01</b><br>issued in <b>Estonia</b> in <b>Estonian</b> language</br>","#899DA4"
"74","AKmeiemisjon","Meie Misjon : EELK Misjonikeskuse ajakiri","2017-05-01","2020-04-01","Estonian","Estonia",2.92054794520548,"Meie Misjon : EELK Misjonikeskuse ajakiri<br>From <b>2017-05-01</b> to <b>2020-04-01</b><br>issued in <b>Estonia</b> in <b>Estonian</b> language</br>","#899DA4"
"75","AKmenteetmanu","Mente et Manu","2017-01-01","2021-04-01","Estonian","Estonia",4.24931506849315,"Mente et Manu<br>From <b>2017-01-01</b> to <b>2021-04-01</b><br>issued in <b>Estonia</b> in <b>Estonian</b> language</br>","#899DA4"
"76","AKmeremees","Meremees : Eesti merendusajakiri = Estonian maritime magazine","2017-03-15","2022-03-15","Estonian","Estonia",5.0027397260274,"Meremees : Eesti merendusajakiri = Estonian maritime magazine<br>From <b>2017-03-15</b> to <b>2022-03-15</b><br>issued in <b>Estonia</b> in <b>Estonian</b> language</br>","#899DA4"
"77","AKmihus","Mihus : noorte elu","2017-01-01","2019-01-01","Estonian","Estonia",2,"Mihus : noorte elu<br>From <b>2017-01-01</b> to <b>2019-01-01</b><br>issued in <b>Estonia</b> in <b>Estonian</b> language</br>","#899DA4"
"78","AKmiksjakuidas","Miks ja Kuidas","2017-01-01","2018-03-01","Estonian","Estonia",1.16164383561644,"Miks ja Kuidas<br>From <b>2017-01-01</b> to <b>2018-03-01</b><br>issued in <b>Estonia</b> in <b>Estonian</b> language</br>","#899DA4"
"79","AKminumaailm","Minu Maailm : lasteajakiri täis avastusi! : loodus-legendid-teadus-ajalugu-mõistatused","2017-01-01","2020-04-01","Estonian","Estonia",3.24931506849315,"Minu Maailm : lasteajakiri täis avastusi! : loodus-legendid-teadus-ajalugu-mõistatused<br>From <b>2017-01-01</b> to <b>2020-04-01</b><br>issued in <b>Estonia</b> in <b>Estonian</b> language</br>","#899DA4"
"80","AKmoekuulutaja","Moekuulutaja : [Tartu Kaubamaja]","2019-03-01","2021-10-01","Estonian","Estonia",2.58904109589041,"Moekuulutaja : [Tartu Kaubamaja]<br>From <b>2019-03-01</b> to <b>2021-10-01</b><br>issued in <b>Estonia</b> in <b>Estonian</b> language</br>","#899DA4"
"81","AKmondo","Mondo Arengupoliitika Teataja","2017-01-01","2017-09-01","Estonian","Estonia",0.665753424657534,"Mondo Arengupoliitika Teataja<br>From <b>2017-01-01</b> to <b>2017-09-01</b><br>issued in <b>Estonia</b> in <b>Estonian</b> language</br>","#899DA4"
"82","AKmosaaremaa","Mo Saaremaa : reisiajakiri : reisihulludele maadeavastajatele","2019-01-01","2021-06-01","Estonian","Estonia",2.41643835616438,"Mo Saaremaa : reisiajakiri : reisihulludele maadeavastajatele<br>From <b>2019-01-01</b> to <b>2021-06-01</b><br>issued in <b>Estonia</b> in <b>Estonian</b> language</br>","#899DA4"
"83","AKmuusika","Muusika : [ajakiri]","2017-01-01","2021-07-01","Estonian","Estonia",4.4986301369863,"Muusika : [ajakiri]<br>From <b>2017-01-01</b> to <b>2021-07-01</b><br>issued in <b>Estonia</b> in <b>Estonian</b> language</br>","#899DA4"
"84","AKnalogi","Налоги & Бухгалтерский Учет. Экспресс консультация","2017-01-01","2020-04-01","Russian","Estonia",3.24931506849315,"Налоги & Бухгалтерский Учет. Экспресс консультация<br>From <b>2017-01-01</b> to <b>2020-04-01</b><br>issued in <b>Estonia</b> in <b>Russian</b> language</br>","#C7B19C"
"85","AKolerohkem","Ole Rohkem : aktiivse tudengi ajakiri","2017-03-01","2018-09-01","Estonian","Estonia",1.5041095890411,"Ole Rohkem : aktiivse tudengi ajakiri<br>From <b>2017-03-01</b> to <b>2018-09-01</b><br>issued in <b>Estonia</b> in <b>Estonian</b> language</br>","#899DA4"
"86","AKopen","Open! : the EATE journal","2017-08-01","2021-08-01","English","Estonia",4.0027397260274,"Open! : the EATE journal<br>From <b>2017-08-01</b> to <b>2021-08-01</b><br>issued in <b>Estonia</b> in <b>English</b> language</br>","#78B7C5"
"87","AKorienteeruja","Orienteeruja","2017-04-01","2017-12-01","Estonian","Estonia",0.668493150684932,"Orienteeruja<br>From <b>2017-04-01</b> to <b>2017-12-01</b><br>issued in <b>Estonia</b> in <b>Estonian</b> language</br>","#899DA4"
"88","AKplug","Плуг : журнал о другой культуре","2017-02-01","2019-12-01","Russian","Estonia",2.83013698630137,"Плуг : журнал о другой культуре<br>From <b>2017-02-01</b> to <b>2019-12-01</b><br>issued in <b>Estonia</b> in <b>Russian</b> language</br>","#C7B19C"
