"","keyid","year","language","country","n"
"4110","koduvaldsaue",2017,"Estonian","Estonia",12
"4111","koerukaja",2015,"Estonian","Estonia",12
"4112","kohila",2004,"Estonian","Estonia",12
"4113","kohila",2006,"Estonian","Estonia",12
"4114","kohila",2007,"Estonian","Estonia",12
"4115","kongutavalla",2015,"Estonian","Estonia",12
"4116","korgessaare",2005,"Estonian","Estonia",12
"4117","korgessaare",2006,"Estonian","Estonia",12
"4118","korgessaare",2010,"Estonian","Estonia",12
"4119","korgessaare",2012,"Estonian","Estonia",12
"4120","koseteataja",2008,"Estonian","Estonia",12
"4121","koseteataja",2009,"Estonian","Estonia",12
"4122","koseteataja",2010,"Estonian","Estonia",12
"4123","koseteataja",2011,"Estonian","Estonia",12
"4124","koseteataja",2012,"Estonian","Estonia",12
"4125","koseteataja",2014,"Estonian","Estonia",12
"4126","koseteataja",2015,"Estonian","Estonia",12
"4127","koseteataja",2018,"Estonian","Estonia",12
"4128","koseteataja",2019,"Estonian","Estonia",12
"4129","koseteataja",2020,"Estonian","Estonia",12
"4130","koseteataja",2021,"Estonian","Estonia",12
"4131","kouekuulutaja",2009,"Estonian","Estonia",12
"4132","kouekuulutaja",2010,"Estonian","Estonia",12
"4133","kouekuulutaja",2012,"Estonian","Estonia",12
"4134","kristiineleht",2005,"Estonian","Estonia",12
"4135","kristiineleht",2014,"Estonian","Estonia",12
"4136","kristiineleht",2021,"Estonian","Estonia",12
"4137","kristiinelehtvene",2014,"Russian","Estonia",12
"4138","kristiinelehtvene",2021,"Russian","Estonia",12
"4139","kundja",1888,"Estonian","Latvia",12
"4140","kundja",1889,"Estonian","Latvia",12
"4141","kundja",1890,"Estonian","Latvia",12
"4142","kurjeeriohtusedtelegr",1923,"Estonian","Estonia",12
"4143","kuulutajavoru",1928,"Estonian","Estonia",12
"4144","laanenigula",2016,"Estonian","Estonia",12
"4145","lasnamaeleht",2016,"Estonian","Estonia",12
"4146","lasnamaeleht",2017,"Estonian","Estonia",12
"4147","lasnamaeleht",2018,"Estonian","Estonia",12
"4148","lasnamaeleht",2019,"Estonian","Estonia",12
"4149","lasnamaeleht",2020,"Estonian","Estonia",12
"4150","lasnamaeleht",2021,"Estonian","Estonia",12
"4151","lasnamaelehtrus",2018,"Russian","Estonia",12
"4152","lasnamaelehtrus",2019,"Russian","Estonia",12
"4153","lasnamaelehtrus",2020,"Russian","Estonia",12
"4154","lasnamaelehtrus",2021,"Russian","Estonia",12
"4155","lastelepostimeheli",1901,"Estonian","Estonia",12
"4156","lastelepostimeheli",1902,"Estonian","Estonia",12
"4157","lastelepostimeheli",1903,"Estonian","Estonia",12
